tipo,key_normalizada,mongo_existe,mongo_source,mongo_id,mongo_nombre,mongo_modulo,mongo_user,mongo_role,sql_existe,sql_source,sql_id,sql_nombre,sql_modulo,sql_user,sql_role,dictamen,accion_recomendada,riesgo,motivo
PERMISO,auditorias_auditoria_programar,True,edarsa_hub.rbac_permisos,69e42eedfb75b19aabd0acd2,AUDITORIA_PROGRAMAR,auditorias,,,False,,,,,,,POSIBLE_FALTANTE_SQL,REVISION_MANUAL_NO_MIGRAR_EN_BLOQUE,MEDIO_ALTO,En Mongo pero sin equivalente normalizado en SQL.
PERMISO,auditorias_auditoria_ver,True,edarsa_hub.rbac_permisos,69e42eedfb75b19aabd0acd1,AUDITORIA_VER,auditorias,,,False,,,,,,,POSIBLE_FALTANTE_SQL,REVISION_MANUAL_NO_MIGRAR_EN_BLOQUE,MEDIO_ALTO,En Mongo pero sin equivalente normalizado en SQL.
PERMISO,auth_rbac_admin,True,edarsa_hub.rbac_permisos,69e42eedfb75b19aabd0acdc,RBAC_ADMIN,auth,,,False,,,,,,,POSIBLE_FALTANTE_SQL,REVISION_MANUAL_NO_MIGRAR_EN_BLOQUE,MEDIO_ALTO,En Mongo pero sin equivalente normalizado en SQL.
PERMISO,auth_roles_gestionar,True,edarsa_hub.rbac_permisos,69e42eedfb75b19aabd0acdb,ROLES_GESTIONAR,auth,,,False,,,,,,,POSIBLE_FALTANTE_SQL,REVISION_MANUAL_NO_MIGRAR_EN_BLOQUE,MEDIO_ALTO,En Mongo pero sin equivalente normalizado en SQL.
PERMISO,auth_roles_ver,True,edarsa_hub.rbac_permisos,69e42eedfb75b19aabd0acda,ROLES_VER,auth,,,False,,,,,,,POSIBLE_FALTANTE_SQL,REVISION_MANUAL_NO_MIGRAR_EN_BLOQUE,MEDIO_ALTO,En Mongo pero sin equivalente normalizado en SQL.
PERMISO,auth_usuarios_gestionar,True,edarsa_hub.rbac_permisos,69e42eedfb75b19aabd0acd9,USUARIOS_GESTIONAR,auth,,,False,,,,,,,POSIBLE_FALTANTE_SQL,REVISION_MANUAL_NO_MIGRAR_EN_BLOQUE,MEDIO_ALTO,En Mongo pero sin equivalente normalizado en SQL.
PERMISO,auth_usuarios_ver,True,edarsa_hub.rbac_permisos,69e42eedfb75b19aabd0acd8,USUARIOS_VER,auth,,,False,,,,,,,POSIBLE_FALTANTE_SQL,REVISION_MANUAL_NO_MIGRAR_EN_BLOQUE,MEDIO_ALTO,En Mongo pero sin equivalente normalizado en SQL.
PERMISO,cargos_cargos_aplicar,True,edarsa_hub.rbac_permisos,69e42eedfb75b19aabd0acb5,CARGOS_APLICAR,cargos,,,False,,,,,,,POSIBLE_FALTANTE_SQL,REVISION_MANUAL_NO_MIGRAR_EN_BLOQUE,MEDIO_ALTO,En Mongo pero sin equivalente normalizado en SQL.
PERMISO,cargos_cargos_autorizar,True,edarsa_hub.rbac_permisos,69e42eedfb75b19aabd0acb4,CARGOS_AUTORIZAR,cargos,,,False,,,,,,,POSIBLE_FALTANTE_SQL,REVISION_MANUAL_NO_MIGRAR_EN_BLOQUE,MEDIO_ALTO,En Mongo pero sin equivalente normalizado en SQL.
PERMISO,cargos_cargos_cancelar,True,edarsa_hub.rbac_permisos,69e42eedfb75b19aabd0acb8,CARGOS_CANCELAR,cargos,,,False,,,,,,,POSIBLE_FALTANTE_SQL,REVISION_MANUAL_NO_MIGRAR_EN_BLOQUE,MEDIO_ALTO,En Mongo pero sin equivalente normalizado en SQL.
